StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,c_1,c_1_e,c_2,c_2_e,c-3,c-3-e,c_4,c_4_e,c_5,c_5_e,c_6,c_6_e,c_7,c_7_e,c_8,c_8_e,c_9,c_9_e,c_10,c_10_e,a_1,a_1_e,a_2,a_2_e,a_3,a_3_e,a_4,a_4_e,a_5,a_5_e,a_6,a_6_e,a_7,a_7_e,a_8,a_8_e,a_9,a_9_e,a_10,a_10_e,distractor_48,Q256_First Click,Q256_Last Click,Q256_Page Submit,Q256_Click Count,IH_1,IH_2,IH_3,IH_4,IH_5,IH_6,IH_7,IH_8,IH_9,IH_10,IH_11,IH_12,IH_13,IH_14,IH_15,IH_C1,IH_C2,IH_C3,IH_C4,Q205_First Click,Q205_Last Click,Q205_Page Submit,Q205_Click Count,O_1,Q198,Q202,Q204_First Click,Q204_Last Click,Q204_Page Submit,Q204_Click Count,O_2,Q210,Q214,Q208_First Click,Q208_Last Click,Q208_Page Submit,Q208_Click Count,O_3,Q186,Q190,Q209_First Click,Q209_Last Click,Q209_Page Submit,Q209_Click Count,O_4,Q175,Q179,Q206_First Click,Q206_Last Click,Q206_Page Submit,Q206_Click Count,O_5,Q163,Q167,Q207_First Click,Q207_Last Click,Q207_Page Submit,Q207_Click Count,O_6,Q151,Q155,Gender,age,Education,D_1,D_2,D_3,D_4,Conservati,English,debrief_1,debrief_2,debrief_3,debrief_4,attn,SC3,SC5,randomCode,condition,Create New Field or Choose From Dropdown...,SurveyOrder
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. This study is approved under protocol #IRB-23274, “Reproducibility of psychological science and instruction.”

 

If you have questions about this research, please contact us at stanfordpsych251@gmail.com. 

 

You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. 

 

Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. We have recently been made aware that your public Amazon.com profile can be accessed via your worker ID if you do not choose to opt out. If you would like to opt out of this feature, you may follow instructions available here. (Links to an external site.).Links to an external site.","In most languages, there are specific words or phrases assiged to convey popularly held beliefs or feelings.",Please explain why you agree or disagree.,"In the US, we generally write from left to right, and top to bottom.",Please explain why you agree or disagree.,Digital computers tend to be the vehicle most often used for transferring and storing information.,Please explain why you agree or disagree.,"Most books, paper, and money is rectangular in shape.",Please explain why you agree or disagree.,Red tends to be the most popular color for conveying feelings of love and passion.,Please explain why you agree or disagree.,"In most homes, toilets and showers are both located in bathrooms.",Please explain why you agree or disagree.,"Clothing that is longer in length (e.g., pants, gowns) is viewed as more formal than clothing that is shorter in length (e.g., shorts, miniskirts)",Please explain why you agree or disagree.,Modern stop lights--with three colors signaling three different speeds--is a popular way to direct traffic.,Please explain why you agree or disagree.,The calendar used most often in modern society is divided into twelve months.,Please explain why you agree or disagree.,"People often give flowers as gifts on a variety of different occasions (e.g., Valentine's Day, funerals).",Please explain why you agree or disagree.,There are absolutely no good reasons why we use specific words to represent our thoughts. Any combination of sounds could in principle refer to any idea.,Please explain why you agree or disagree.,"The fact that, in the US, we write from left to right, and top to bottom is simply coincidence. There is nothing ideal about that pattern.",Please explain why you agree or disagree.,We store and transfer information largely on digital computers just because they happened to be invented at the right time. They're certainly not the optimal vehicles for such tasks.,Please explain why you agree or disagree.,"The only reason our paper, money, and books are rectangular is historical happenstance.",Please explain why you agree or disagree.,We use the color red to convey feelings of love and passion entirely because of marketing strategies from the past. Green or brown could easily be used to convey the same feelings.,Please explain why you agree or disagree.,Toilets and showers are both placed in bathrooms simply to conserve space. There are no real reasons why they both need to be in the same room.,Please explain why you agree or disagree.,"The fact that longer clothing (e.g., pants, gowns) is seen as more formal than shorter clothing (e.g., shorts, miniskirts) is only a convention, and the opposite trend (e.g., shorter = more formal) could've been implemented just as easily.",Please explain why you agree or disagree.,"The current design of traffic lights, with three different colors reflecting three different speeds, is entirely due to historical factors, and is by no means the most efficient or effective way to manage traffic.",Please explain why you agree or disagree.,There are no meaningful reasons why we divide the calendar year into twelve months. It's simply a historical convention.,Please explain why you agree or disagree.,"We give flowers as gifts for a variety of occasions (e.g., Valentine's Day, funerals) because of effective advertising and marketing by florists--not because flowers effectively convey a variety of sentiments.",Please explain why you agree or disagree.,distractor - Click to write Region 1,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,It seems natural to use red in a traffic light to mean “stop.”,It seems natural for parents and children to sleep in separate beds.,It seems natural that engagement rings typically have diamonds.,There are good reasons why dollar bills are green.,There are good reasons why we don't keep chipmunks as pets.,There are good reasons why orange juice is typically consumed for breakfast.,It seems right that pink is the color typically associated with girls.,It seems right to use white for wedding dresses.,It seems right that black is the color associated with funerals.,It seems ideal that toothpaste is typically flavored with mint.,It seems ideal that weekends consist of Saturday and Sunday.,It seems ideal that there are 7 days in a week.,"If intelligent organisms were discovered on another planet, they would probably have 2 arms and 2 legs.","If intelligent organisms were discovered on another planet, they would probably have eyes and ears.","If intelligent organisms were discovered on another planet, they would probably communicate through sounds.",It seems right to kill other people for fun.,It seems natural to stand on one’s head.,It seems ideal for hotel rooms to have bathrooms.,"If intelligent organisms were discovered on another planet, they would probably reproduce.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think that it's good that so many Americans watch football?","Do you think the number of viewers who watch the games live
will stay at around 6% over the next 5 years?","How far back do you think data has been
collected on football viewership in the United States?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think it should be that so many Americans eat pizza?",Do you think the amount of pizza sold will grow in the next 5 years?,How far back do you think data has been collected on pizza consumption in the United States?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think that it's good that so many Americans drive to work?","Do you think the percentage of people who
ride their bikes to work will continue to stay low over the next 5 years?",How far back do you think data has been collected on driving rates in the United States?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think it should be that so many American households own a TV?","Do
you think the average number of shows and movies that Americans watch per week
will continue to grow over the next 5 years?",How far back do you think data has been collected on TV viewing in the United States?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think it should be that so many Americans use email?","Do
you think the overall population of internet users will continue to grow in the next 5 years?",How far back do you think data has been collected on email and internet search use in the United States?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Do
you think that it's good that so many Americans drink
coffee?","Do you think the single cup brewing format is going to grow
in the future?","How far back do you think data has been
collected on coffee consumption in the United States?",Are you male or female?,What is your age (in years)?,What is the highest level of education you have completed?,D - What is your yearly household income?,D - What is your religious affiliation?,D - What is your racial or ethnic identity?,D - What is your age in years?,How would you describe your political attitudes? Please select one of the points on the scale below.,Please rate your overall ability in the English language:,1. Did you find any aspect of the procedure odd or confusing?,2. What did you think we were studying?,"3. Do you think that there may have been more to this study than meets the eye? If so, what do you think this might have been?",4. Do you have any additional thoughts or comments about the study?,"Thank you for completing this survey! We just have one last question for you. You will not be penalized for your answer to this question. 
	 

	It's very important to the quality and scientific aims of our study that participants pay attention (i.e., read the survey carefully, consider the response options, and avoid distractions).

	

	Were you paying attention while completing this survey?",InhHeur,IHCatch,randomCode,condition,Create New Field or Choose From Dropdown...,SurveyOrder
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID550""}","{""ImportId"":""QID522""}","{""ImportId"":""QID523_TEXT""}","{""ImportId"":""QID524""}","{""ImportId"":""QID525_TEXT""}","{""ImportId"":""QID526""}","{""ImportId"":""QID527_TEXT""}","{""ImportId"":""QID528""}","{""ImportId"":""QID529_TEXT""}","{""ImportId"":""QID530""}","{""ImportId"":""QID531_TEXT""}","{""ImportId"":""QID532""}","{""ImportId"":""QID533_TEXT""}","{""ImportId"":""QID534""}","{""ImportId"":""QID535_TEXT""}","{""ImportId"":""QID536""}","{""ImportId"":""QID537_TEXT""}","{""ImportId"":""QID538""}","{""ImportId"":""QID539_TEXT""}","{""ImportId"":""QID540""}","{""ImportId"":""QID541_TEXT""}","{""ImportId"":""QID502""}","{""ImportId"":""QID503_TEXT""}","{""ImportId"":""QID504""}","{""ImportId"":""QID505_TEXT""}","{""ImportId"":""QID506""}","{""ImportId"":""QID507_TEXT""}","{""ImportId"":""QID508""}","{""ImportId"":""QID509_TEXT""}","{""ImportId"":""QID510""}","{""ImportId"":""QID511_TEXT""}","{""ImportId"":""QID512""}","{""ImportId"":""QID513_TEXT""}","{""ImportId"":""QID514""}","{""ImportId"":""QID515_TEXT""}","{""ImportId"":""QID516""}","{""ImportId"":""QID517_TEXT""}","{""ImportId"":""QID518""}","{""ImportId"":""QID519_TEXT""}","{""ImportId"":""QID520""}","{""ImportId"":""QID521_TEXT""}","{""ImportId"":""QID543_48""}","{""ImportId"":""QID544_FIRST_CLICK""}","{""ImportId"":""QID544_LAST_CLICK""}","{""ImportId"":""QID544_PAGE_SUBMIT""}","{""ImportId"":""QID544_CLICK_COUNT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID65""}","{""ImportId"":""QID64""}","{""ImportId"":""QID368""}","{""ImportId"":""QID369""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60""}","{""ImportId"":""QID59""}","{""ImportId"":""QID58""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID55""}","{""ImportId"":""QID54""}","{""ImportId"":""QID53""}","{""ImportId"":""QID52""}","{""ImportId"":""QID51""}","{""ImportId"":""QID49""}","{""ImportId"":""QID69""}","{""ImportId"":""QID496_FIRST_CLICK""}","{""ImportId"":""QID496_LAST_CLICK""}","{""ImportId"":""QID496_PAGE_SUBMIT""}","{""ImportId"":""QID496_CLICK_COUNT""}","{""ImportId"":""QID461""}","{""ImportId"":""QID462""}","{""ImportId"":""QID464""}","{""ImportId"":""QID495_FIRST_CLICK""}","{""ImportId"":""QID495_LAST_CLICK""}","{""ImportId"":""QID495_PAGE_SUBMIT""}","{""ImportId"":""QID495_CLICK_COUNT""}","{""ImportId"":""QID467""}","{""ImportId"":""QID468""}","{""ImportId"":""QID470""}","{""ImportId"":""QID499_FIRST_CLICK""}","{""ImportId"":""QID499_LAST_CLICK""}","{""ImportId"":""QID499_PAGE_SUBMIT""}","{""ImportId"":""QID499_CLICK_COUNT""}","{""ImportId"":""QID455""}","{""ImportId"":""QID456""}","{""ImportId"":""QID458""}","{""ImportId"":""QID500_FIRST_CLICK""}","{""ImportId"":""QID500_LAST_CLICK""}","{""ImportId"":""QID500_PAGE_SUBMIT""}","{""ImportId"":""QID500_CLICK_COUNT""}","{""ImportId"":""QID449""}","{""ImportId"":""QID450""}","{""ImportId"":""QID452""}","{""ImportId"":""QID497_FIRST_CLICK""}","{""ImportId"":""QID497_LAST_CLICK""}","{""ImportId"":""QID497_PAGE_SUBMIT""}","{""ImportId"":""QID497_CLICK_COUNT""}","{""ImportId"":""QID443""}","{""ImportId"":""QID444""}","{""ImportId"":""QID446""}","{""ImportId"":""QID498_FIRST_CLICK""}","{""ImportId"":""QID498_LAST_CLICK""}","{""ImportId"":""QID498_PAGE_SUBMIT""}","{""ImportId"":""QID498_CLICK_COUNT""}","{""ImportId"":""QID437""}","{""ImportId"":""QID438""}","{""ImportId"":""QID440""}","{""ImportId"":""QID9""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID178""}","{""ImportId"":""QID307""}","{""ImportId"":""QID297_TEXT""}","{""ImportId"":""QID298_TEXT""}","{""ImportId"":""QID299_TEXT""}","{""ImportId"":""QID300_TEXT""}","{""ImportId"":""QID302""}","{""ImportId"":""SC4""}","{""ImportId"":""SC6""}","{""ImportId"":""randomCode""}","{""ImportId"":""condition""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""SurveyOrder""}"
11/19/2018 15:09,11/19/2018 15:20,IP Address,172.245.83.209,100,644,TRUE,11/19/2018 15:20,R_27xKYKYuMxyTUDF,,,,,41.14649963,-85.12319946,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,Agree3,Any combination of sounds could in principle refer to any idea,Agree somewhat 2, There is nothing ideal about that pattern.,Agree very strongly 4,They're certainly not the optimal vehicles for such tasks.,Agree 3, books are rectangular is historical happenstance.,Agree 3,Green or brown could easily be used to convey the same feelings.,Agree 3,There are no real reasons why they both need to be in the same room.,Agree 3,The fact that longer clothing,Agree 3,the most efficient or effective way to manage traffic.,Agree somewhat 2,It's simply a historical convention.,Agree somewhat2,because of effective advertising and marketing by florists--not because flowers effectively convey a variety of sentiments.,Neutral,,,,,8,8,7,6,8,8,7,6,7,7,8,8,Agree strongly 9,7,7,Agree strongly 9,6,8,Agree strongly 9,42.966,42.966,47.516,1,8,Yes,20-30 years,0,0,10.937,0,8,Yes,20-30 years,0,0,4.149,0,8,Yes,20-30 years,0,0,6.541,0,"
Definitely yes

 9",Yes,10-20 years,0,0,4.944,0,8,Yes,20-30 years,0,0,3.528,0,6,Yes,20-30 years,Female,28,"Master's (M.A., M.S.)",80000,christian,white,28,8,Native (learned from birth),none,well,good survey,well,Yes,111,2,703593,anti_inherence,,IH_O
11/19/2018 15:24,11/19/2018 15:40,IP Address,108.30.21.41,100,1013,TRUE,11/19/2018 15:40,R_py1nYL0CoNbY4nf,,,,,40.87019348,-73.84950256,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,Disagree 1,Because words have specific origins and histories. They're not arbitrary.,Disagree 1,We write from left to right because most people are right-handed.,Disagree 1,Computers have a lot of advantages over paper or clay tablets.,Agree 3,I can't think of a good reason.,Disagree1,"I think we use the color red to symbolize the heart, which is thought of as a symbol of love.",Disagree 1,"They're there because they don't belong in the kitchen, and they need plumbing.",Agree 3,I can't think of why they couldn't be the opposite.,Agree strongly4,"I think it is arbitrary, though I can't think of a better system.",Disagree 1,It's based on revolutions of the moon.,Disagree 1,Flowers are pretty and pleasant to have around.,Like,,,,,3,8,2,3,8,3,3,7,8,8,3,2,3,7,3,Disagree strongly 1,Disagree strongly 1,Agree strongly 9,7,8.509,21.936,22.7,5,3,Yes,40 or more years,30.247,38.323,55.065,7,7,Yes,40 or more years,6.546,13.237,14.706,5,2,No,40 or more years,26.321,35.893,37.773,4,"
Definitely yes

 9",No,30-40 years,8.036,18.232,20.322,3,8,Yes,10-20 years,7.856,15.351,17.198,3,7,No,40 or more years,Female,44,Some college,25000,None,White and Native American,44,Strongly liberal 1,Native (learned from birth),Pretty straightforward.,Whether people perceive things as arbitrary.,Possibly but I have no clue.,Nope.,Yes,71,4,649081,anti_inherence,,IH_O
11/19/2018 16:35,11/19/2018 16:47,IP Address,185.230.126.105,100,675,TRUE,11/19/2018 16:47,R_2eX1pMGBb1PPcqA,,,,,34.0493927,-118.2640991,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,Agree3,"thoughts are very vast, ",Agree3,no reason ,Agree 3,no reason ,Agree somewhat 2,no reason ,Agree somewhat2,no reason ,Agree 3,no reason ,Agree very strongly 4,no reason ,Agree somewhat2,no reason ,Disagree 1,no reason ,Agree 3,no reason ,Neutral,,,,,8,8,7,8,7,8,8,8,8,6,7,8,Neither agree nor disagree 5,7,Neither agree nor disagree 5,7,7,8,7,8.853,13.613,13.796,9,6,Yes,10-20 years,32.02,35.045,97.963,4,6,Yes,20-30 years,2.398,10.845,11.369,9,7,Yes,10-20 years,4.533,9.501,26.887,5,6,Yes,20-30 years,5.859,10.075,10.738,7,7,Yes,10-20 years,4.259,8.602,9.285,6,4,No,40 or more years,Male,32,"Bachelor's (B.A., B.S.)",20000,christian ,white,32,Strongly  conservative 9,Native (learned from birth),no,predictions about the future ,no,no,Yes,108,2,3026,anti_inherence,,O_IH
11/19/2018 16:46,11/19/2018 17:05,IP Address,76.106.227.192,100,1106,TRUE,11/19/2018 17:05,R_2UaMufJ6ElN3UM4,,,,,30.16369629,-81.72910309,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,Disagree 1,"There are different words for different degrees of each of our thoughts and feelings. Without proper communication there is disputes and misunderstandings, which can even be seen in forums when people use sarcasm and it's not as evident without tone. ",Agree3,"Other countries write right to left, or from top to bottom. I think whichever way is normal.",Disagree 1,"They are we have, and until something better comes along, then we make use of the best thing for the job.",Agree somewhat 2,It probably started out as a convenience and just came this way.,Agree somewhat2,We associate red with blood and passion. So it sort of makes sense.,Agree somewhat 2,The room you go into take care of your personal hygiene needs. Some places have them separate.,Disagree 1,"Rich people had the longer better looking dresses. Poor people couldn't afford the fabric, so rich people set the fashion of the day. ",Disagree 1,I think it works so why mess with it. ,Agree somewhat 2,The calendar is different in other parts of the world.,Disagree 1,Flowers were just picked back in the olden days. They were a nice gift. Now you don't have as many places to pick them so you buy.,Like,,,,,6,6,4,Neither agree nor disagree 5,6,Neither agree nor disagree 5,3,4,2,7,6,6,Neither agree nor disagree 5,6,Neither agree nor disagree 5,Disagree strongly 1,2,Agree strongly 9,8,37.29,48.757,49.544,4,5,Yes,40 or more years,26.702,34.207,35.092,5,7,Yes,30-40 years,29.654,41.28,41.646,5,5,Yes,30-40 years,22.228,37.938,38.55,4,6,No,40 or more years,33.07,51.6,52.406,5,7,Yes,20-30 years,22.471,36.414,37.3,4,5,No,40 or more years,Female,40,High school/GED,15000,christian,white,40,2,Native (learned from birth),No,I dont know,I don't think so.,No,Yes,76,4,90623,anti_inherence,,O_IH
11/19/2018 17:12,11/19/2018 17:26,IP Address,98.26.233.134,100,842,TRUE,11/19/2018 17:26,R_ZKUPb5nFkdcY5mV,,,,,36.04029846,-80.19329834,anonymous,EN,I agree,Agree 3,I agree because generally i only use certain words to describe my feelings or emotions about certain things normally.,Agree very strongly 4,That was the way i was taught to right in school so i assume its the normal thing for Americans.,Agree 3,Everything seems to be digital and stored on the internet now compared to in the past.,Agree very strongly 4,Every dollar that I've seen has been rectangular in shape same with books.,Agree somewhat 2,It seems that when i watch movies it is portrayed as that type of color so i only agree somewhat.,Agree 3,"Almost every home i have ever been in has toilets and showers in the same room, only very few have been different. like 1 outta 100.",Agree 3,I agree because when you see people dressed for business or to go to church they are always almost never weraing shorts or miniskirts.,Agree 3,It's the only way ive ever seen. I've never seen any other methods.,Agree very strongly 4,Every calendar i have seen or used has been divided into twelve months so i assume that is just the normal thing.,Agree very strongly 4,When those holidays are around the corner i always see advertisements to gift my loved ones with flowers and things like that.,,,,,,,,,,,,,,,,,,,,,Neutral,,,,,Agree strongly 9,Agree strongly 9,6,Agree strongly 9,Agree strongly 9,Neither agree nor disagree 5,2,6,4,Agree strongly 9,6,Agree strongly 9,Neither agree nor disagree 5,Neither agree nor disagree 5,Neither agree nor disagree 5,Disagree strongly 1,Disagree strongly 1,Agree strongly 9,7,4.628,51.906,52.892,5,7,No,30-40 years,5.087,40.531,42.191,4,"
Definitely yes

 9",Yes,20-30 years,30.326,35.317,36.4,3,4,No,10-20 years,35.918,41.255,43.78,3,"
Definitely yes

 9",Yes,10-20 years,3.911,58.593,59.293,4,"Definitely yes

 9",Yes,10-20 years,29.907,36.545,37.969,3,5,Yes,10- 20 years,Male,27,High school/GED,11000,none,white,27,2,Native (learned from birth),Everything was fine.,How people gauge information that is provided to them.,I don't think so.,everything was fine and easy to understand.,Yes,98,4,432614,control,,IH_O
11/19/2018 17:52,11/19/2018 18:15,IP Address,69.181.223.187,100,1380,TRUE,11/19/2018 18:15,R_2Swvg9nW7ygFlcu,,,,,37.78120422,-122.4613953,anonymous,EN,I agree,,,,,,,,,,,,,,,,,,,,,Disagree 1,"I don't think so. I think there can be many linguistic, cultural, psychological and evolutionary reasons why we use the specific sounds that we do. ",Disagree 1,"its not a coincidence or happenstance. yes it varies from culture to culture, but for specific reasons. its not something somebody arbitrarily made up.",Disagree 1,computers have been specifically built to handle more and more data. I don't think lucky timing had anything to do with it. ,Disagree1,I don't think so. I think they are conveniently designed to be stored.,Disagree1,no. I think there are deeper reasons than just marketing. red evokes stronger responses than brown ,Disagree 1,I'm sure plumbing factors into the reasoning.,Disagree 1,i'm sure cost of fabric made an impact into the evolution of that as only richer people could afford larger quantities of fabric to be used.,Agree somewhat2,"not all stop lights always have 3 colors, and not all countries do it the same way.",Disagree 1,there are a number of reasons why the calendar we have is structured the way it is. historical convention is one small factor.,Disagree 1,"flowers have been an artistic symbol for long before ""marketing"" was a major",Like,,,,,8,8,4,7,Agree strongly 9,Neither agree nor disagree 5,Neither agree nor disagree 5,4,7,7,Neither agree nor disagree 5,8,6,Neither agree nor disagree 5,Neither agree nor disagree 5,Disagree strongly 1,Disagree strongly 1,Agree strongly 9,8,29.027,56.038,57.849,3,5,No,40 or more years,45.08,60.668,61.782,4,5,Yes,40 or more years,31.054,39.295,40.599,3,8,Yes,40 or more years,28.321,37.863,38.695,5,7,Yes,40 or more years,88.818,100.224,100.993,5,5,Yes,10-20 years,32.402,54.189,55.23,4,5,No,40 or more years,Male,40,"Bachelor's (B.A., B.S.)",130000,none,white,40,8,Native (learned from birth),"no, but I did find it confusing that you said it would take about 8 minutes. It took a significantly longer than 8 minutes. I feel like my time was wasted.","I think you were studying something about why we think certain things are conventions, or are expected to be the way that they are. ",probably. how would I know though?,,Yes,93,4,108894,anti_inherence,,IH_O
11/19/2018 18:17,11/19/2018 18:44,IP Address,108.30.21.41,100,1626,TRUE,11/19/2018 18:44,R_cLPlKjCRE52rwfn,,,,,40.87019348,-73.84950256,anonymous,EN,I agree,Agree 3,"Language is for communication. Beliefs that are popular will be repeated a lot. People need a way to convey this information easily, with commonly used and intelligible words and phrases.",Agree very strongly 4,"A large part of the writing in the US is in English, Spanish and other European languages. There are people who write in Hebrew or Japanese, for example, but that's a small portion of the writing done in this country.",Agree 3,"There is still a lot of information transmitted in letters, books and newspapers, but most of that information is produced by computersm adn is stored in them at some point.",Agree 3,"MOst of theos things are rectangular but not all. Coins are round, for example, and there are square books. Origami paper is square.",Agree somewhat 2,"Some Valentines are pink. Not as many as red ones, but there are many. Lots of love letters and lve poetry are written in black ink on white paper.",Agree 3,Some homes hav a bathtub and no shower. Some houses have half baths with only a toilet and sink.,Agree 3,"This is true, but long nightgowns are to be worn at home and sweat pants are very informal.",Do not agree 1,"Traffic lights don't signal speed. They signal Stop, go, and proceed with caution.",Agree somewhat 2,The calendar used most often in the US and some other countries  is divided into twelve months. I'm not sure about every place.,Agree very strongly 4,People do give flowers for many occasions.,,,,,,,,,,,,,,,,,,,,,Neutral,,,,,6,Neither agree nor disagree 5,Disagree strongly 1,4,Agree strongly 9,3,Disagree strongly 1,3,3,4,Neither agree nor disagree 5,Neither agree nor disagree 5,Disagree strongly 1,2,Neither agree nor disagree 5,Disagree strongly 1,Disagree strongly 1,Agree strongly 9,Agree strongly 9,11.883,19.274,22.016,3,2,Yes,30-40 years,14.11,19.486,21.664,3,5,Yes,30-40 years,11.769,21.985,22.906,3,2,No,40 or more years,11.268,19.62,20.7,3,5,Yes,40 or more years,32.741,51.444,52.455,4,"Definitely yes

 9",Yes,20-30 years,37.661,47.878,49.335,6,5,Yes,40 or more years,Female,58,"Doctoral (Ph.D., J.D., M.D.)",64000,Unitarian-Universalist,Black,58,Strongly liberal 1,Native (learned from birth),The progress bar. What the heck?,Whether people think their experiences are universal?,"Isn't there always? I don;t know what, though",nope,Yes,57,4,935070,control,,O_IH
11/19/2018 18:49,11/19/2018 19:06,IP Address,114.142.227.100,100,997,TRUE,11/19/2018 19:06,R_5v8Wzz2ANLFonfP,,,,,13.44430542,144.7862854,anonymous,EN,I agree,Agree very strongly 4,Word express our feelings and facial expressions ,Agree very strongly 4,It's the way I was taught in school.,Agree 3,All we have is computers in our car it's how we know if our car has problem.,Agree very strongly 4,It's all I know..    ,Agree very strongly 4,Usa it's the main color for valentine's day,Agree very strongly 4,That where they are in my house.,Agree very strongly 4,Prom,Agree very strongly 4,That's traffic light in usa.,Agree very strongly 4,That's what school has taught me ,Agree very strongly 4,That's just the way it is.,,,,,,,,,,,,,,,,,,,,,Neutral,,,,,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,7,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,Agree strongly 9,8,7,8,Disagree strongly 1,Disagree strongly 1,Agree strongly 9,Disagree strongly 1,0.623,8.753,9.255,18,7,Yes,30-40 years,2.233,14.357,14.9,17,8,Yes,30-40 years,2.102,8.979,9.542,15,8,Yes,30-40 years,7.717,19.4,20.084,19,4,Yes,30-40 years,1.521,19.282,20.577,17,6,Yes,30-40 years,0.403,6.936,7.391,17,4,Yes,30-40 years,Female,33,Some college,96000,Catholic ,Hispanic ,33,7,Native (learned from birth),None,Idk,Maybe....Idk,No,Yes,129,3,292574,control,,IH_O
